data_point;region;vac_interval_group;vaccine;vac_count_18_59;vac_count_60;vac_count_total;nas_age_18_59;nas_age_60;nas_age_adult_total
2021.11_01-07-2022;Республика Саха (Якутия);105_165_days;EpiVacCorona;25258;6069;31327;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);105_165_days;SputnikLite;1146;77;1223;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);105_165_days;SputnikV;70056;12143;82199;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);165_195_days;AllVaccines;30679;12008;42687;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);165_195_days;EpiVacCorona;7640;4023;11663;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);165_195_days;SputnikLite;3;0;3;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);165_195_days;SputnikV;23036;7985;31021;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);21_45_days;AllVaccines;20501;5228;25729;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);21_45_days;CoviVac;20;4;24;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);21_45_days;EpiVacCorona;516;106;622;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);21_45_days;SputnikLite;16009;4181;20190;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);21_45_days;SputnikV;3956;937;4893;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);45_75_days;AllVaccines;28286;6210;34496;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);45_75_days;CoviVac;4;1;5;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);45_75_days;EpiVacCorona;1378;265;1643;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);45_75_days;SputnikLite;17929;3726;21655;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);45_75_days;SputnikV;8975;2218;11193;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);75_90_days;AllVaccines;27694;2740;30434;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);75_90_days;CoviVac;9;0;9;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);75_90_days;EpiVacCorona;4737;718;5455;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);75_90_days;SputnikLite;16143;1168;17311;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);75_90_days;SputnikV;6805;854;7659;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);90_105_days;AllVaccines;35977;3439;39416;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);90_105_days;CoviVac;11;1;12;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);90_105_days;EpiVacCorona;11253;1827;13080;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);90_105_days;SputnikLite;15669;665;16334;568643;148395;717038
2021.11_01-07-2022;Республика Саха (Якутия);90_105_days;SputnikV;9044;946;9990;568643;148395;717038
2021.11_01-07-2022;Республика Северная Осетия - Алания;105_165_days;AllVaccines;44334;8803;53137;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;105_165_days;CoviVac;562;175;737;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;105_165_days;EpiVacCorona;469;169;638;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;105_165_days;SputnikLite;271;77;348;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;105_165_days;SputnikV;43032;8382;51414;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;165_195_days;AllVaccines;9642;3072;12714;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;165_195_days;EpiVacCorona;5;3;8;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;165_195_days;SputnikV;9637;3069;12706;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;21_45_days;AllVaccines;8039;2247;10286;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;21_45_days;CoviVac;10;2;12;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;21_45_days;EpiVacCorona;144;29;173;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;21_45_days;SputnikLite;4285;1336;5621;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;21_45_days;SputnikV;3600;880;4480;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;45_75_days;AllVaccines;12267;2880;15147;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;45_75_days;CoviVac;9;0;9;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;45_75_days;EpiVacCorona;175;36;211;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;45_75_days;SputnikLite;3991;960;4951;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;45_75_days;SputnikV;8092;1884;9976;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;75_90_days;AllVaccines;10986;1897;12883;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;75_90_days;CoviVac;2;2;4;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;75_90_days;EpiVacCorona;184;20;204;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;75_90_days;SputnikLite;2117;356;2473;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;75_90_days;SputnikV;8683;1519;10202;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;90_105_days;AllVaccines;18821;3202;22023;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;90_105_days;CoviVac;8;5;13;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;90_105_days;EpiVacCorona;64;11;75;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;90_105_days;SputnikLite;1734;254;1988;385443;144230;529673
2021.11_01-07-2022;Республика Северная Осетия - Алания;90_105_days;SputnikV;17015;2932;19947;385443;144230;529673
2021.11_01-07-2022;Республика Татарстан;105_165_days;AllVaccines;312971;73573;386544;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;105_165_days;CoviVac;2982;530;3512;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;105_165_days;EpiVacCorona;14007;5238;19245;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;105_165_days;SputnikLite;2407;190;2597;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;105_165_days;SputnikV;293575;67615;361190;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;165_195_days;AllVaccines;69786;33624;103410;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;165_195_days;CoviVac;192;107;299;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;165_195_days;EpiVacCorona;2699;2014;4713;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;165_195_days;SputnikLite;1;2;3;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;165_195_days;SputnikV;66894;31501;98395;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;21_45_days;AllVaccines;104550;30610;135160;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;21_45_days;CoviVac;1634;359;1993;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;21_45_days;EpiVacCorona;1017;546;1563;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;21_45_days;SputnikLite;51347;15254;66601;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;21_45_days;SputnikV;50552;14451;65003;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;45_75_days;AllVaccines;102113;29330;131443;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;45_75_days;CoviVac;2958;443;3401;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;45_75_days;EpiVacCorona;1601;831;2432;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;45_75_days;SputnikLite;20334;8743;29077;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;45_75_days;SputnikV;77220;19313;96533;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;75_90_days;AllVaccines;88702;15194;103896;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;75_90_days;CoviVac;2200;248;2448;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;75_90_days;EpiVacCorona;3375;1075;4450;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;75_90_days;SputnikLite;11436;1630;13066;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;75_90_days;SputnikV;71691;12241;83932;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;90_105_days;AllVaccines;110693;17217;127910;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;90_105_days;CoviVac;2680;424;3104;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;90_105_days;EpiVacCorona;1366;395;1761;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;90_105_days;SputnikLite;11238;840;12078;2180132;866477;3046609
2021.11_01-07-2022;Республика Татарстан;90_105_days;SputnikV;95409;15558;110967;2180132;866477;3046609
2021.11_01-07-2022;Республика Тыва;105_165_days;AllVaccines;28696;4756;33452;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;105_165_days;CoviVac;1207;40;1247;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;105_165_days;EpiVacCorona;1451;443;1894;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;105_165_days;SputnikLite;1611;82;1693;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;105_165_days;SputnikV;24427;4191;28618;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;165_195_days;AllVaccines;14636;3311;17947;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;165_195_days;CoviVac;676;16;692;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;165_195_days;EpiVacCorona;1432;355;1787;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;165_195_days;SputnikLite;3;177;180;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;165_195_days;SputnikV;12525;2763;15288;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;21_45_days;AllVaccines;11129;2973;14102;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;21_45_days;CoviVac;16;1;17;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;21_45_days;EpiVacCorona;24;4;28;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;21_45_days;SputnikLite;9915;2699;12614;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;21_45_days;SputnikV;1174;269;1443;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;45_75_days;AllVaccines;7527;1213;8740;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;45_75_days;CoviVac;20;1;21;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;45_75_days;EpiVacCorona;26;7;33;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;45_75_days;SputnikLite;5317;667;5984;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;45_75_days;SputnikV;2164;538;2702;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;75_90_days;AllVaccines;10535;904;11439;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;75_90_days;CoviVac;39;1;40;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;75_90_days;EpiVacCorona;28;5;33;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;75_90_days;SputnikLite;5415;327;5742;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;75_90_days;SputnikV;5053;571;5624;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;90_105_days;AllVaccines;11017;974;11991;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;90_105_days;CoviVac;192;11;203;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;90_105_days;EpiVacCorona;23;5;28;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;90_105_days;SputnikLite;4383;180;4563;176122;31028;207150
2021.11_01-07-2022;Республика Тыва;90_105_days;SputnikV;6419;778;7197;176122;31028;207150
2021.11_01-07-2022;Республика Хакасия;105_165_days;AllVaccines;40530;12808;53338;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;105_165_days;CoviVac;1347;327;1674;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;105_165_days;EpiVacCorona;352;155;507;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;105_165_days;SputnikLite;1;1;2;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;105_165_days;SputnikV;38830;12325;51155;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;165_195_days;AllVaccines;9915;7515;17430;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;165_195_days;EpiVacCorona;215;71;286;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;165_195_days;SputnikV;9700;7444;17144;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;21_45_days;AllVaccines;8280;4172;12452;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;21_45_days;CoviVac;105;49;154;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;21_45_days;EpiVacCorona;21;6;27;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;21_45_days;SputnikLite;5783;3142;8925;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;21_45_days;SputnikV;2371;975;3346;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;45_75_days;AllVaccines;12923;4469;17392;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;45_75_days;CoviVac;249;81;330;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;45_75_days;EpiVacCorona;151;64;215;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;45_75_days;SputnikLite;4153;1842;5995;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;45_75_days;SputnikV;8370;2482;10852;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;75_90_days;AllVaccines;19026;3184;22210;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;75_90_days;CoviVac;57;7;64;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;75_90_days;EpiVacCorona;275;58;333;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;75_90_days;SputnikLite;3671;487;4158;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;75_90_days;SputnikV;15023;2632;17655;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;90_105_days;AllVaccines;22067;4269;26336;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;90_105_days;CoviVac;373;86;459;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;90_105_days;EpiVacCorona;119;31;150;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;90_105_days;SputnikLite;866;131;997;291439;112190;403629
2021.11_01-07-2022;Республика Хакасия;90_105_days;SputnikV;20709;4021;24730;291439;112190;403629
2021.11_01-07-2022;Ростовская область;105_165_days;AllVaccines;355816;115476;471292;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;105_165_days;CoviVac;7259;1582;8841;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;105_165_days;EpiVacCorona;36523;19061;55584;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;105_165_days;SputnikLite;3162;550;3712;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;105_165_days;SputnikV;308872;94283;403155;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;165_195_days;AllVaccines;84732;67981;152713;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;165_195_days;CoviVac;7;9;16;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;165_195_days;EpiVacCorona;3619;2998;6617;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;165_195_days;SputnikLite;105;120;225;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;165_195_days;SputnikV;81001;64854;145855;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;21_45_days;AllVaccines;64919;32513;97432;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;21_45_days;CoviVac;778;310;1088;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;21_45_days;EpiVacCorona;765;379;1144;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;21_45_days;SputnikLite;28816;18401;47217;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;21_45_days;SputnikV;34560;13423;47983;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;45_75_days;AllVaccines;162185;51117;213302;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;45_75_days;CoviVac;1125;303;1428;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;45_75_days;EpiVacCorona;2564;972;3536;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;45_75_days;SputnikLite;25367;14161;39528;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;45_75_days;SputnikV;133129;35681;168810;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;75_90_days;AllVaccines;170779;33037;203816;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;75_90_days;CoviVac;1820;327;2147;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;75_90_days;EpiVacCorona;4065;1183;5248;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;75_90_days;SputnikLite;21004;4347;25351;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;75_90_days;SputnikV;143890;27180;171070;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;90_105_days;AllVaccines;221206;34675;255881;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;90_105_days;CoviVac;2217;389;2606;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;90_105_days;EpiVacCorona;837;195;1032;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;90_105_days;SputnikLite;21110;2904;24014;2367942;1020468;3388410
2021.11_01-07-2022;Ростовская область;90_105_days;SputnikV;197042;31187;228229;2367942;1020468;3388410
2021.11_01-07-2022;Рязанская область;105_165_days;AllVaccines;61024;25021;86045;600731;301318;902049
2021.11_01-07-2022;Рязанская область;105_165_days;CoviVac;769;158;927;600731;301318;902049
2021.11_01-07-2022;Рязанская область;105_165_days;EpiVacCorona;1046;1384;2430;600731;301318;902049
2021.11_01-07-2022;Рязанская область;105_165_days;SputnikLite;72;51;123;600731;301318;902049
2021.11_01-07-2022;Рязанская область;105_165_days;SputnikV;59137;23428;82565;600731;301318;902049
2021.11_01-07-2022;Рязанская область;165_195_days;AllVaccines;13346;15919;29265;600731;301318;902049
2021.11_01-07-2022;Рязанская область;165_195_days;EpiVacCorona;10;4;14;600731;301318;902049
2021.11_01-07-2022;Рязанская область;165_195_days;SputnikLite;2;1;3;600731;301318;902049
2021.11_01-07-2022;Рязанская область;165_195_days;SputnikV;13334;15914;29248;600731;301318;902049
2021.11_01-07-2022;Рязанская область;21_45_days;AllVaccines;22022;11189;33211;600731;301318;902049
2021.11_01-07-2022;Рязанская область;21_45_days;CoviVac;100;23;123;600731;301318;902049
2021.11_01-07-2022;Рязанская область;21_45_days;EpiVacCorona;143;72;215;600731;301318;902049
2021.11_01-07-2022;Рязанская область;21_45_days;SputnikLite;14778;8638;23416;600731;301318;902049
2021.11_01-07-2022;Рязанская область;21_45_days;SputnikV;7001;2456;9457;600731;301318;902049
2021.11_01-07-2022;Рязанская область;45_75_days;AllVaccines;28423;13993;42416;600731;301318;902049
2021.11_01-07-2022;Рязанская область;45_75_days;CoviVac;460;95;555;600731;301318;902049
2021.11_01-07-2022;Рязанская область;45_75_days;EpiVacCorona;270;123;393;600731;301318;902049
2021.11_01-07-2022;Рязанская область;45_75_days;SputnikLite;8087;7352;15439;600731;301318;902049
2021.11_01-07-2022;Рязанская область;45_75_days;SputnikV;19606;6423;26029;600731;301318;902049
2021.11_01-07-2022;Рязанская область;75_90_days;AllVaccines;22121;6723;28844;600731;301318;902049
2021.11_01-07-2022;Рязанская область;75_90_days;CoviVac;90;13;103;600731;301318;902049
2021.11_01-07-2022;Рязанская область;75_90_days;EpiVacCorona;787;306;1093;600731;301318;902049
2021.11_01-07-2022;Рязанская область;75_90_days;SputnikLite;3896;2047;5943;600731;301318;902049
2021.11_01-07-2022;Рязанская область;75_90_days;SputnikV;17348;4357;21705;600731;301318;902049
2021.11_01-07-2022;Рязанская область;90_105_days;AllVaccines;24693;5371;30064;600731;301318;902049
2021.11_01-07-2022;Рязанская область;90_105_days;CoviVac;379;48;427;600731;301318;902049
2021.11_01-07-2022;Рязанская область;90_105_days;EpiVacCorona;273;110;383;600731;301318;902049
2021.11_01-07-2022;Рязанская область;90_105_days;SputnikLite;1514;432;1946;600731;301318;902049
2021.11_01-07-2022;Рязанская область;90_105_days;SputnikV;22527;4781;27308;600731;301318;902049
2021.11_01-07-2022;Самарская область;105_165_days;AllVaccines;248212;75196;323408;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;105_165_days;CoviVac;5626;1036;6662;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;105_165_days;EpiVacCorona;16425;7623;24048;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;105_165_days;SputnikLite;6625;566;7191;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;105_165_days;SputnikV;219536;65971;285507;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;165_195_days;AllVaccines;59851;53472;113323;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;165_195_days;CoviVac;1182;617;1799;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;165_195_days;EpiVacCorona;1958;2690;4648;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;165_195_days;SputnikLite;0;1;1;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;165_195_days;SputnikV;56711;50164;106875;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;21_45_days;AllVaccines;84621;38587;123208;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;21_45_days;CoviVac;722;210;932;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;21_45_days;EpiVacCorona;287;615;902;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;21_45_days;SputnikLite;57162;28534;85696;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;21_45_days;SputnikV;26450;9228;35678;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;45_75_days;AllVaccines;103499;34822;138321;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;45_75_days;CoviVac;1787;432;2219;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;45_75_days;EpiVacCorona;1035;552;1587;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;45_75_days;SputnikLite;40368;17499;57867;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;45_75_days;SputnikV;60309;16339;76648;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;75_90_days;AllVaccines;126333;20565;146898;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;75_90_days;CoviVac;1043;126;1169;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;75_90_days;EpiVacCorona;3429;815;4244;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;75_90_days;SputnikLite;32765;5974;38739;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;75_90_days;SputnikV;89096;13650;102746;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;90_105_days;AllVaccines;126914;18905;145819;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;90_105_days;CoviVac;2344;417;2761;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;90_105_days;EpiVacCorona;2521;446;2967;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;90_105_days;SputnikLite;26939;2846;29785;1769846;769791;2539637
2021.11_01-07-2022;Самарская область;90_105_days;SputnikV;95110;15196;110306;1769846;769791;2539637
2021.11_01-07-2022;Саратовская область;105_165_days;AllVaccines;175477;64752;240229;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;105_165_days;CoviVac;3969;672;4641;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;105_165_days;EpiVacCorona;2702;1922;4624;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;105_165_days;SputnikLite;71;22;93;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;105_165_days;SputnikV;168735;62136;230871;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;165_195_days;AllVaccines;35599;35442;71041;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;165_195_days;EpiVacCorona;921;930;1851;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;165_195_days;SputnikLite;29;9;38;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;165_195_days;SputnikV;34649;34503;69152;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;21_45_days;AllVaccines;50050;23878;73928;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;21_45_days;CoviVac;684;163;847;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;21_45_days;EpiVacCorona;284;164;448;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;21_45_days;SputnikLite;32800;14402;47202;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;21_45_days;SputnikV;16282;9149;25431;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;45_75_days;AllVaccines;52378;24127;76505;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;45_75_days;CoviVac;1323;286;1609;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;45_75_days;EpiVacCorona;851;584;1435;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;45_75_days;SputnikLite;17194;10916;28110;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;45_75_days;SputnikV;33010;12341;45351;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;75_90_days;AllVaccines;52219;12709;64928;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;75_90_days;CoviVac;255;31;286;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;75_90_days;EpiVacCorona;1038;561;1599;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;75_90_days;SputnikLite;11008;3300;14308;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;75_90_days;SputnikV;39918;8817;48735;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;90_105_days;AllVaccines;63055;13316;76371;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;90_105_days;CoviVac;1021;125;1146;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;90_105_days;EpiVacCorona;418;180;598;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;90_105_days;SputnikLite;8228;1597;9825;1348454;599954;1948408
2021.11_01-07-2022;Саратовская область;90_105_days;SputnikV;53388;11414;64802;1348454;599954;1948408
2021.11_01-07-2022;Сахалинская область;105_165_days;AllVaccines;44147;11916;56063;276677;101794;378471
2021.11_01-07-2022;Сахалинская область;105_165_days;CoviVac;1720;375;2095;276677;101794;378471
2021.11_01-07-2022;Сахалинская область;105_165_days;EpiVacCorona;620;160;780;276677;101794;378471
2021.11_01-07-2022;Сахалинская область;105_165_days;SputnikLite;351;10;361;276677;101794;378471
2021.11_01-07-2022;Сахалинская область;105_165_days;SputnikV;41456;11371;52827;276677;101794;378471
2021.11_01-07-2022;Сахалинская область;165_195_days;AllVaccines;12749;7234;19983;276677;101794;378471
2021.11_01-07-2022;Сахалинская область;165_195_days;EpiVacCorona;18;3;21;276677;101794;378471
